year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,12,ILLINOI,"COSTELLO, JERRY F.",1,2,3,1,0.333333343,2,IL,14,3,0,9,0,1,9/25/49,47,0.560000002,31003,0.524219215,0.814660668,0.719000041,0.138999999,0.775080919,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,63,90,45,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
1997-1998,105,2,47,CALIFOR,"COX, C. CHRISTOPHER",1,1,2,1,0.5,2,CA,5,9,1,9,0,1,10/16/52,44,0.360000014,59936,0.516509712,0.835782945,0.896999955,0.370999992,0.995560944,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1997-1998,105,1,14,PENNSYL,"COYNE, WILLIAM J.",0,0,0,0,0,2,PA,39,2,0,17,0,1,8/24/36,60,0.589999974,32274,0.545278668,0.804624379,0.75999999,0.226000011,0.996090412,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,100,5,85,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,5,ALABAMA,"CRAMER, BUD",1,0,1,1,1,1,AL,1,6,1,7,0,1,8/22/47,49,0.430000007,33189,0.52021879,0.834176183,0.715999961,0.203999996,0.6112656,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,63,60,40,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
1997-1998,105,2,8,ILLINOI,"CRANE, PHILIP M.",7,1,8,1,0.875,1,IL,14,3,1,29,0,1,11/3/30,66,0.409999996,53105,0.5084095,0.922175586,0.870999992,0.302000016,0.944578588,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,2,2,IDAHO,"CRAPO, MICHAEL D.",3,2,5,1,0.600000024,3,ID,13,8,1,5,0,1,5/20/51,45,0.319999993,29736,0.508544564,0.938918352,0.806999981,0.187000006,0.606815338,NA,NA,NA,NA,NA,0.430000007,0.150000006,0.150000006,0.02,0.25,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997-1998,105,2,1,WYOMING,"CUBIN, BARBARA",0,2,2,0,0,1,WY,51,8,1,3,1,1,11/30/46,50,0.5,32216,0.505000591,0.941517413,0.829999983,0.187999994,0.649190426,0.349206358,0.386363626,0.232142851,0.55384618,0.673913062,0.49000001,0.180000007,0.07,0.02,0.239999995,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1997-1998,105,1,7,MARYLAN,"CUMMINGS, ELIJAH E.",1,0,1,1,1,1,MD,21,5,0,1,0,0,1/18/51,45,0.810000002,30115,0.543472767,0.272132248,0.639999986,0.160999998,0.991948843,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,100,5,90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1997-1998,105,2,51,CALIFOR,"CUNNINGHAM, RANDY (DUKE)",2,1,3,1,0.666666687,1,CA,5,9,1,7,0,1,12/8/41,55,0.379999995,50405,0.502373099,0.845932305,0.875999987,0.344999999,0.966889024,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,6,MISSOUR,"DANNER, PAT",2,2,4,1,0.5,2,MO,26,4,0,5,1,1,1/13/34,63,0.460000008,32516,0.524211109,0.96473217,0.784000039,0.159999996,0.624808729,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,63,70,30,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
